tipo_pelicula,titulo_pelicula,anno_estreno,mes_estreno ,id_pelicula,genero_pelicula
Movie,Super Vixens 7,2024,6,tt31038701,Action
Movie,The Alexandrian,2024,1,tt31048146,Action
Movie,Sarkari Rozgaar,2024,11,tt31068530,Action
Movie,Mandya Haida,2024,2,tt31079401,Action
Movie,Fast Atlanta,2024,4,tt31093131,Action
Movie,Malditos fantasmas,2024,10,tt31115532,Action
Movie,Megamind vs the Doom Syndicate,2024,3,tt31122323,Action
Movie,E-mail,2024,2,tt31149938,Action
Movie,Xi zhuang bao tu,2024,1,tt31152127,Action
Movie,Kizumonogatari: Koyomi Vamp,2024,1,tt31152166,Action
Movie,Rooban,2024,4,tt31152181,Action
Movie,Crypto Storm,2024,1,tt31159130,Action
Movie,Wayward,2024,12,tt31169791,Action
Movie,The Queens Ball,2024,5,tt31171309,Action
Movie,Tal Matal,2024,2,tt31194647,Action
Movie,Pikmin Forever,2024,1,tt31215789,Action
Movie,Ajay Gadu,2024,1,tt31216055,Action
Movie,The One and Only: Spider-Man,2024,5,tt31241468,Action
Movie,ChickenMan,2024,1,tt31250810,Action
Movie,Zakhvat,2024,2,tt31258919,Action
Movie,Happy Dragons,2024,2,tt31261135,Action
Movie,I Heart Robots,2024,por estrenar,tt31306866,Action
Movie,Koresha,2024,7,tt31308511,Action
Movie,Jurassic Exorcist,2024,N/A,tt31311119,Action
Movie,RedSin: Martyrs of Dissent,2024,2,tt31313928,Action
Movie,Janna Endoro,2024,2,tt31315486,Action
Movie,Enimey Nangadha Head Lines,2024,4,tt31321746,Action
Movie,Oversteer,2024,1,tt31383416,Action
Movie,In the Woods,2024,N/A,tt31389264,Action
Movie,Bharkhama,2024,7,tt31389684,Action
Movie,Taxi Bosses,2024,1,tt31383093,Action
Movie,Jimmy's Friends,2024,3,tt31408607,Action
Movie,2032: Pako Varissuolta,2024,2,tt31435118,Action
Movie,Miles Morales: A New Hero,2024,N/A,tt31450653,Action
Movie,Beyond: Part One,2024,10,tt31451138,Action
Movie,Kingdom 4,2024,7,tt31457736,Action
Movie,Too Little Too Late,2024,2,tt31456573,Action
Movie,Raja 420,2024,4,tt31462825,Action
Movie,Zen Fist,2024,2,tt31492821,Action
Movie,Mo lu kuang dao,2024,3,tt31494700,Action
Movie,Marni: The Story of Wewe Gombel,2024,6,tt31495280,Action
Movie,The Brofessors Return,2024,3,tt31511073,Action
Movie,Half Moon Bay,2024,N/A,tt31513054,Action
Movie,Sicarius,2024,3,tt31521633,Action
Movie,The Grey Man,2024,2,tt31523052,Action
Movie,Snow White and the Seven Samurai,2024,3,tt31530596,Action
Movie,Another Space: Part One,2024,10,tt31545409,Action
Movie,A Lonely Place to Die,2024,3,tt31546944,Action
Movie,Pakal Iravu,2024,N/A,tt31583554,Action
Movie,Holy Punch,2024,3,tt31597833,Action
Movie,Dora du Gaza,2024,4,tt31608769,Action
Movie,Vakoojakoulun Varamiehet,2024,3,tt31614338,Action
Movie,Dink Legacy,2024,3,tt31615423,Action
Movie,Tiger's Trigger,2024,3,tt31624202,Action
Movie,The Circuit 4: Faith Fighter,2024,5,tt31629710,Action
Movie,Died Doin Dirty Work,2024,4,tt31630821,Action
Movie,Hijacking,2024,N/A,tt31624258,Action
Movie,Isabella: Diary of A Foster Girl,2024,por estrenar,tt31638408,Action
Movie,"Bernadotte, Louise & Napoleon",2024,7,tt31644773,Action
Movie,Anaconda Kuang Mang Zhi Zai,2024,3,tt31645102,Action
Movie,Remand,2024,9,tt31645600,Action
Movie,Robbin' Hoods,2024,3,tt31690646,Action
Movie,The Birth,2024,6,tt31692378,Action
Movie,Hunt the Wicked,2024,2,tt31704401,Action
Movie,Justice League: Crisis on Infinite Earths - Part Two,2024,4,tt30150907,Action
Movie,PW V: Tears of the Fallen,2024,1,tt31066103,Action
Movie,Akabane Honeko no Bodyguard,2024,8,tt31557623,Action
Movie,Las Viudas del Capo 2,2024,3,tt31563873,Action
Movie,Karate Cops,2024,2,tt31718662,Action
Movie,Maverick from the edge,2024,2,tt31721742,Action
Movie,Surrender,2024,4,tt31725814,Action
Movie,The Club III,2024,8,tt31790164,Action
Movie,Hattichhap,2024,2,tt31789137,Action
Movie,Yamadheera,2024,3,tt31804488,Action
Movie,Wandafuru Purikyua! Za mubi!,2024,9,tt31806053,Action
Movie,Dragon,2024,3,tt31806068,Action
Movie,Rebel,2024,5,tt31850446,Action
Movie,Di Renjie zhi Tongtian xuan an,2024,2,tt31851880,Action
Movie,Baki Hanma VS Kengan Ashura,2024,6,tt31869664,Action
Movie,Kek 2,2024,5,tt31888121,Action
Movie,Gauri Shankar ki Prem Kahani,2024,N/A,tt31898764,Action
Movie,Red vs. Blue: Restoration,2024,5,tt31946567,Action
Movie,Pottel,2024,por estrenar,tt31948043,Action
Movie,"La Protegida, La Película",2024,3,tt31948772,Action
Movie,Jongli,2024,6,tt31951179,Action
Movie,Simhadwani,2024,4,tt31962200,Action
Movie,Tian Keng Ying Lie,2024,4,tt31973838,Action
Movie,Mercy Killing,2024,4,tt31986077,Action
Movie,The SML YTP Movie 2: Dimension Trouble,2024,3,tt32009405,Action
Movie,Appu,2024,4,tt32020028,Action
Movie,Correr para Vivir,2024,4,tt32027823,Action
Movie,The Codes of War,2024,por estrenar,tt32044730,Action
Movie,Bride with the white hair,2024,por estrenar,tt32058493,Action
Movie,Tales Beyond the Galaxy,2024,por estrenar,tt32044814,Action
Movie,Sayen: La cazadora,2024,4,tt32063728,Action
Movie,Roudhra Rupaya,2024,4,tt32081990,Action
Movie,"I, the Executioner",2024,5,tt32086021,Action
Movie,Die Hart: Die Harter,2024,5,tt32094375,Action
Movie,Soy creativa,2024,3,tt31722836,Action
Movie,Firework,2024,7,tt31778961,Action
Movie,Hard Ride,2024,4,tt32031888,Action
Movie,Captain Toad and the Mystery Mine,2024,4,tt32109331,Action
Movie,Neighborhood War: The Movie,2024,7,tt32110003,Action
Movie,Governor's Plea,2024,2,tt32110151,Action
Movie,COMBAT Code: Hunt,2024,4,tt32119112,Action
Movie,The Lord of the Monsters,2024,3,tt32126636,Action
Movie,Nenu Keerthana,2024,N/A,tt32130925,Action
Movie,The Mortician,2024,4,tt32132740,Action
Movie,The Manizer,2024,por estrenar,tt32132901,Action
Movie,They're Here,2024,6,tt32150467,Action
Movie,Full Throttle 2,2024,4,tt32150914,Action
Movie,Charming Men: Part 2 - Camilla,2024,6,tt32151168,Action
Movie,Kaale Angrej,2024,4,tt32151823,Action
Movie,The Incredible 7,2024,5,tt32160590,Action
Movie,No More Awesome Action Movies,2024,12,tt32161271,Action
Movie,Guide,2024,2,tt32161844,Action
Movie,Vampires Saga,2024,N/A,tt32161887,Action
Movie,My Hero Academia the Movie: You're Next,2024,8,tt32176689,Action
Movie,Abudeka Is Back,2024,5,tt32176659,Action
Movie,Kamen Rider the Summer Movie 2024: Gotchard & Boonboomger,2024,7,tt32187228,Action
Movie,Brotherhood of Blades 3: The Embroidered Sword,2024,4,tt32192757,Action
Movie,Lorry,2024,8,tt32206571,Action
Movie,Partner Kannada,2024,4,tt32207504,Action
Movie,Royal Flush,2024,4,tt32214314,Action
Movie,Beacon of ming,2024,N/A,tt32216057,Action
Movie,Super Vixens 8,2024,9,tt32219579,Action
Movie,Juz (fight against drugs),2024,8,tt32230604,Action
Movie,Athhoi,2024,6,tt32241523,Action
Movie,School of Magical Animals 3,2024,9,tt32241578,Action
Movie,Unglorified,2024,6,tt32253253,Action
Movie,Bloodline,2024,por estrenar,tt32254860,Action
Movie,Carjorski Clan: Tale of the Fallen Knight,2024,8,tt32258691,Action
Movie,Spider-Man: Dimension Rift,2024,3,tt32263034,Action
Movie,Quantum Supremacy,2024,12,tt32263577,Action
Movie,La Ley de mi Raza,2024,4,tt32276885,Action
Movie,Bandida: A Número Um,2024,6,tt32277622,Action
Movie,Mu,2024,por estrenar,tt32277946,Action
Movie,Opasni shmatki,2024,4,tt32292858,Action
Movie,"War, Royal and Family/Impi Yobukhosi No Sapho",2024,1,tt32296336,Action
Movie,Purushothamudu,2024,5,tt32307843,Action
Movie,How to Rob a Bank,2024,6,tt32308418,Action
Movie,Mustaqim,2024,4,tt32323204,Action
Movie,Cruel War,2024,3,tt32323733,Action
Movie,Road Wars: Max Fury,2024,5,tt32338670,Action
Movie,The Flash,2023,6,tt0439572,Action
Movie,Shazam! Fury of the Gods,2023,3,tt10151854,Action
Movie,John Wick: Chapitre 4,2023,3,tt10366206,Action
Movie,Miraculous: Filmen om Ladybug & Cat Noir,2023,7,tt10364034,Action
Movie,Scavenger,2023,N/A,tt10471692,Action
Movie,The Hunger Games: The Ballad of Songbirds & Snakes,2023,11,tt10545296,Action
Movie,The Marvels,2023,11,tt10676048,Action
Movie,Ant-Man and the Wasp: Quantumania,2023,2,tt10954600,Action
Movie,Untitled The Mafia: Payback Sequel,2023,N/A,tt10955900,Action
Movie,Dark City: Interval_575,2023,9,tt11230362,Action
Movie,The Out-Laws,2023,7,tt11274492,Action
Movie,Extraordinary Sacrifice,2023,N/A,tt11601444,Action
Movie,Gold Rush,2023,N/A,tt11705740,Action
Movie,Untitled Project Valentina Sequel,2023,N/A,tt11872772,Action
Movie,Bugsy the Becoming,2023,8,tt11972054,Action
Movie,Varisu,2023,1,tt11998558,Action
Movie,65,2023,3,tt12261776,Action
Movie,Extraction II,2023,6,tt12263384,Action
Movie,Eímai o Theós,2023,3,tt12283024,Action
Movie,Getting to the Plug,2023,2,tt12422694,Action
Movie,Les Trois Mousquetaires - Milady,2023,12,tt12672620,Action
Movie,The Three Musketeers - Part I: D'Artagnan,2023,4,tt12672536,Action
Movie,The Caller,2023,N/A,tt12902374,Action
Movie,Adipurush,2023,6,tt12915716,Action
Movie,Operation Fortune,2023,1,tt7985704,Action
Movie,Shehzada,2023,4,tt13130948,Action
Movie,Mission Majnu,2023,1,tt13131232,Action
Movie,Bholaa Shankar,2023,8,tt13131610,Action
Movie,Ground Zero,2023,6,tt13186618,Action
Movie,Little Dixie,2023,2,tt13614388,Action
Movie,Choppa City Queens,2023,5,tt13640794,Action
Movie,Arbitrium: The Final Days,2023,N/A,tt13681698,Action
Movie,Animal,2023,12,tt13751694,Action
Movie,Fast & Furious X,2023,5,tt5433140,Action
Movie,The Assassin Unleashed,2023,12,tt13808564,Action
Movie,Spider-Man: Lotus,2023,8,tt13904644,Action
Movie,Bratri,2023,10,tt14232442,Action
Movie,Shin Kamen Rider,2023,3,tt14379088,Action
Movie,Aagun Pakhi: The Midnight Club Chronicles,2023,11,tt14384196,Action
Movie,Gunfight at Rio Bravo,2023,1,tt14388612,Action
Movie,Indiana Jones and the Dial of Destiny,2023,6,tt1462764,Action
Movie,SoulHood Saga II: The Finale,2023,5,tt14681272,Action
Movie,Burning Love,2023,11,tt14709996,Action
Movie,Untitled Marvel Disney (June 2023),2023,6,tt14743384,Action
Movie,John Burrows,2023,3,tt15056712,Action
Movie,Fast & Furious: A Fan-Film,2023,8,tt15145972,Action
Movie,Jade Brooks Must Die!,2023,6,tt15179658,Action
Movie,Hadik,2023,3,tt15299406,Action
Movie,Rudhran,2023,4,tt15303192,Action
Movie,Ride On,2023,4,tt15430628,Action
Movie,Spider-Man: Bad Reputation,2023,11,tt15477560,Action
Movie,The Obstacle,2023,4,tt15614148,Action
Movie,Return of the Dark,2023,7,tt15673502,Action
Movie,Dungeons & Dragons: Ehre unter Dieben,2023,3,tt2906216,Action
Movie,The Last Deal,2023,2,tt3326138,Action
Movie,129,2023,3,tt3566610,Action
Movie,Out for Vengeance,2023,9,tt4303846,Action
Movie,Transformers: Rise of the Beasts,2023,6,tt5090568,Action
Movie,Taeter Burger,2023,10,tt5776252,Action
Movie,Migration,2023,12,tt6495056,Action
Movie,Mercy & Compassion,2023,3,tt16793230,Action
Movie,Aquaman a ztracené království,2023,12,tt9663764,Action
Movie,Statica,2023,3,tt7984562,Action
Movie,The Mother,2023,5,tt6968614,Action
Movie,Heavy Duty Man,2023,12,tt16429084,Action
Movie,Trail Blazers: The Conquest,2023,N/A,tt15716002,Action
Movie,Assassin Club,2023,7,tt7720142,Action
Movie,End of Loyalty,2023,3,tt15811964,Action
Movie,The Old Way,2023,6,tt8593824,Action
Movie,Blue Beetle,2023,8,tt9362930,Action
Movie,Black Lotus,2023,4,tt15895490,Action
Movie,The Color of Greene,2023,1,tt16308356,Action
Movie,Drain Away: Is Pure Longing a Sin?,2023,3,tt7995640,Action
Movie,The Breeding Frenzy,2023,N/A,tt9788538,Action
Movie,Gridman Universe,2023,3,tt16418362,Action
Movie,PAW Patrol: The Mighty Movie,2023,10,tt15837338,Action
Movie,The One,2023,N/A,tt15769364,Action
Movie,Guardians of the Galaxy Vol. 3,2023,5,tt6791350,Action
Movie,Target Number One,2023,12,tt8035464,Action
Movie,Nelayan,2023,11,tt16310240,Action
Movie,Bull,2023,N/A,tt15731658,Action
Movie,Révolutionnaire,2023,4,tt9390520,Action
Movie,Talk to the Gun: Momentum,2023,8,tt7184154,Action
Movie,Father & Soldier,2023,N/A,tt15769220,Action
Movie,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,8,tt8589698,Action
Movie,38 Minutes,2023,1,tt16349772,Action
Movie,Spider-Man: Across the Spider-Verse,2023,6,tt9362722,Action
Movie,Raakshasa Kaavyam,2023,10,tt16058988,Action
Movie,Mission: Impossible - Dead Reckoning Part One,2023,7,tt9603212,Action
Movie,Hidden Strike,2023,7,tt6879446,Action
Movie,Topannah,2023,3,tt16361586,Action
Movie,Free State,2023,9,tt16428782,Action
Movie,King Street,2023,1,tt9910302,Action
Movie,Demons of Hell,2023,9,tt16960394,Action
Movie,Phoney,2023,4,tt17322408,Action
Movie,Spider-man: With Great Power,2023,N/A,tt17338918,Action
Movie,Love of Money,2023,2,tt17497862,Action
Movie,The Gift,2023,3,tt17499172,Action
Movie,The Phoney,2023,4,tt17499656,Action
Movie,The House of God,2023,N/A,tt17509628,Action
Movie,Spider-Man: Rise of a Hero,2023,3,tt18296850,Action
Movie,Back to the Present!,2023,6,tt18302086,Action
Movie,Electro,2023,4,tt18310956,Action
Movie,El Sicario 2,2023,1,tt18395292,Action
Movie,Intensive Purposes,2023,7,tt18411792,Action
Movie,Tiger 3,2023,11,tt18411490,Action
Movie,Mobile suit gundam wing the movie,2023,11,tt18667352,Action
Movie,Turgut Reis - Dragut,2023,9,tt18777074,Action
Movie,Crimson Saints,2023,N/A,tt18925102,Action
Movie,John henry man of steel the movie,2023,11,tt18926960,Action
Movie,The Oath,2023,12,tt18925050,Action
Movie,The Origins,2023,12,tt18912278,Action
Movie,Martian manhunter the movie,2023,11,tt18953060,Action
Movie,Superboy prime the movie,2023,11,tt18969190,Action
Movie,Spiderman unlimited the movie,2023,11,tt18969216,Action
Movie,Android kikaider the movie,2023,11,tt18990260,Action
Movie,Yugioh the movie,2023,11,tt18990216,Action
Movie,Convict,2023,N/A,tt19113854,Action
Movie,Mastná Pliaga,2023,8,tt19077558,Action
Movie,The Big O movie,2023,11,tt19358602,Action
Movie,Samurai jack the movie,2023,11,tt19358722,Action
Movie,Grand Theft auto the movie,2023,11,tt19358704,Action
Movie,Ninja Gaiden the movie,2023,11,tt19358674,Action
Movie,Static Shock the movie,2023,11,tt19358822,Action
