nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Heidi K. Eklund,,"Cariño, cuánto te odio', 'Si tu me dices lee', 'La segunda oportunidad', 'Last Vermont Christmas'","Casting', 'Dirección de casting', 'Reparto'",
Jason Downs,1973,"Navy: Investigación criminal', 'Days of Our Lives', 'Hairspray, fiebre de los 6', ""NCIS: Hawai'i""","Reparto', 'Producción', 'Guion'",
Scarlett Hollinger,,"Doomsdays', 'None', 'None', 'None'",Reparto',
Susan Louise O'Connor,,"All Rise', 'Her and Him', 'Lexi', 'Ley y orden: Unidad de Víctimas Especiales'","Reparto', 'Guion', 'Producción'",1
Jordan Danger,1991,"Eureka', 'Kevin from Work', 'Breaking & Exiting', 'Dos colgaos muy fumaos en Navidad'","Reparto', 'Producción', 'Guion'",1
Jesse Pepe,,"Slipaway', 'Manual para chicas indecentes', 'Sequins', 'Jpee: Inadequate'","Reparto', 'Producción', 'Guion'",1
Alex Arthur,,"None', 'None', 'None', 'None'",212',1
Temple Baker,,"Todos queremos algo', 'Hill Country Stories', 'Half Price Hits', 'Rent Free'","Reparto', 'Guion', 'Producción'",1
Kyle Anderson,,"Emergencia', 'Day of the Dead Dance', 'Halloween Dance', 'None'",Reparto',1
Spencer Waldner,,"Live', 'Crossword', '5 Years Apart', 'Surprise Party'","Reparto', 'Guion', 'Edición'",
Richard Heffer,1946,"Airline', 'La fuga de Colditz', ""Don't Wait Up"", 'Survivors'",Reparto',
Alexander Boyd-Bench,,"A Walk in the Woods', 'None', 'None', 'None'",Reparto',
Elliot Brown,,"Roblox the Movie 2: The Attack of J.U.L.I.E.N', 'None', 'None', 'None'",Reparto',
Mark Hampton,,"Lift: Un robo de primera clase', 'Una vez más', 'Control', 'Liaison'","Reparto', 'Dirección', 'Guion'",5
Clare Richards,,"The Stanley Baxter Show', 'High Living', ""That's My Boy"", 'The Revenue Men'",Reparto',
Isla Richards,,"A Walk in the Woods', 'None', 'None', 'None'",Reparto',
Redd Nicholson,,"Heads of State', 'Animal', 'Bad Day at the Office', 'The Way'","Especialistas', 'Reparto', 'Banda sonora'",
Luna Wolf,,"Slasher House 3', 'Slasher House 2', 'Pandamonium', 'The Thinning Veil'","Dirección', 'Producción', 'Especialistas'",11
Carly Halse,,"Slasher House 3', 'Stages', 'Lucidity', 'Midsummer Boulevard'",Reparto',11
Paris Rivers,,"Viuda Negra', 'Tomb Raider', 'The Aeronauts', ""The King's Man: La primera misión""","Reparto', 'Localización', 'Equipos adicionales'",11
Lewis Cooper,,"Bugs Bunny in Double Trouble', 'None', 'None', 'None'",Arte',11
Cy Henty,,"Smiley vs Smiley', 'Slasher House 3', 'Video Shop Tales of Terror', 'Axel Falcon'","Reparto', 'Dirección', 'Guion'",11
Richard Fysh,,"Maya', 'Grindsploitation', '7 Kills, 3 Songs & a Banana', ""What You Can't Promise""","Reparto', 'Dirección', 'Guion'",
Grant Kempster,1973,"Pugilist', 'Werewolves of London', 'Slasher House 2', 'Limited'","Reparto', 'Arte', 'Producción'",
Pauline Peart,,"Carry on Girls', 'Los ritos satánicos de Drácula', 'Cuba', 'Chandi Sona'",Reparto',
Matthew Baunsgard,,"The Loch Ness Horror', ""Freddy's Fridays"", 'FBI: International', 'The Area 51 Incident'",Reparto',
