nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Kaisa Hela,,"Piiritys', 'Dyykkivuoro', 'Kummeli V', 'Kontio & Parmas'","Reparto', 'Guion', 'Producción'",
Asko Vaarala,,"Vähän kunnioitusta', 'Onnesta', 'Kosta (The paradise)', 'Nöyryydestä'","Reparto', 'Música', 'Banda sonora'",
Pyry Nikkilä,,"Love Records - anna mulle Lovee', 'Sekunnit', 'Ollaan vapaita', 'Kaikki huutaa Dingo!'","Reparto', 'Música', 'Banda sonora'",
Graeme Bernier,,"Carissima (Dearest)', 'Baby Teeth', 'Revel', 'None'",Reparto',
Elizabeth Blanco,,"Lucid', 'The Museum of the Abortion Wars', 'The Author', 'Bunk Beds'",Reparto',
Anik Desmarais-Spencer,,"Carissima (Dearest)', 'Baby Teeth', 'Slip', 'All-In Madonna'","Dirección', 'Guion', 'Producción'",
George William Lambert,,"Lucid', 'Carissima (Dearest)', 'Baby Teeth', 'None'",Reparto',
Missie Peters,,"Carissima (Dearest)', 'None', 'None', 'None'",Reparto',
Maija Makila,,"Sigue el ritmo', 'Amour', 'The Next Step', 'None'","Reparto', 'Maquillaje'",
Delaney Weller,,"Amour', 'None', 'None', 'None'","Reparto', 'Maquillaje'",
Danielle Yvie Chambers,,"Chucky', 'TallBoyz', 'Venganza: Orígenes', 'Open Heart'",Reparto',
Michael Lake,,"Edwin', 'The Treatment', 'After Mum', 'Purgatory'","Reparto', 'Producción', 'Guion'",19
Zoe Alexa De Guzman,,"Amour', 'None', 'None', 'None'",Reparto',19
Maya Jain,,"Amour', 'Untitled', 'Shattered', 'The Art of Moving Forward'","Reparto', 'Dirección', 'Guion'",
Kaylyn Henricus,,"Amour', 'The Art of Moving Forward', 'None', 'None'","Reparto', 'Composición'",
Clara Moniz,,"Amour', 'None', 'None', 'None'",Reparto',
Jessica Pace,,"The Wilderness Night', 'None', 'None', 'None'",Reparto',
Shyanne Rego,,"Amour', 'None', 'None', 'None'",Reparto',
Patrik Humený,,"Zlehka', 'Srdcové Eso', 'Polibek Reality', 'Barvy Osudu'","Reparto', 'Dirección', 'Sonido'",
Tereza Chalusová,,"Polibek Reality', 'Zkus to znovu', 'None', 'None'","Reparto', 'Sonido'",
Jonás Bradík,,"Ostre sledované papuce', 'V Jednom Ohni', 'Polibek Reality', 'Kriminálka Ambro'","Reparto', 'Guion y continuidad', 'Sonido'",
Karolína Nová,,"Bratri', 'Osada', 'Pan profesor', 'Odznak Vysocina'",Reparto',
Katerina Bacíková,,"Ostre sledované papuce', 'Polibek Reality', 'None', 'None'","Reparto', 'Cámara y electricidad', 'Guion y continuidad'",
Katerina Alexová,,"Rozpad', 'Polibek Reality', 'Ostre sledované papuce', 'Poslední portrét'","Sonido', 'Reparto', 'Arte'",
Krystof Pipek,,"Polibek Reality', 'None', 'None', 'None'","Reparto', 'Cámara y electricidad', 'Sonido'",
Zuzana Lisková,,"Polibek Reality', 'None', 'None', 'None'","Cámara y electricidad', 'Reparto'",
Kristýna Líbalová,,"On vám to ríkal', 'Nevysvetlitelná', 'A co si o tom myslí buh?', 'Polibek Reality'","Reparto', 'Cámara y electricidad', 'Maquillaje'",
Agáta Tichá,,"Hlavolam', 'On vám to ríkal', 'Polibek Reality', 'None'",Reparto',
Dan Jopling,,"Pembroke Circle', 'Dream Season', 'Space Dad', 'River Money'","Reparto', 'Cámara y electricidad', 'Dirección de fotografía y cámara'",
Croix Provence,,"Space Dad', 'The Final Wish', 'The Care & Keeping of Your Woman', 'October 31st'","Reparto', 'Producción', 'Dirección'",1
Aswathi Balan,,"Sakath', 'Punarvasu Nakshatra Mithuna Raashi', 'Cheluvina Chittara', 'None'",Reparto',
Vijay Karthik,,"MAX', 'None', 'None', 'None'",Dirección',
Chivvaun Abigial,,"The Curse Within', 'None', 'None', 'None'",Reparto',
Savannah Albright,,"The Curse Within', 'None', 'None', 'None'",Reparto',
Eric Allen,1971,"El loft', 'Casi famosos', 'Modern Family', 'Mascotas'","Reparto', 'Guion', 'Banda sonora'",7
Maya Bailey,,"3 días de oscuridad', '1.', 'Power Rangers Beast Morphers', 'Being Eve'",Maquillaje',7
Nyisha Bell,1995,"""Jakob's Wife"", 'Tom Swift', 'Bitter', 'None'",Reparto',7
Brian Brown,1963,"La balada de Buster Scruggs', 'Iron Man', 'Cowboys & Aliens', 'La sombra del reino'","Especialistas', 'Reparto', 'Equipos adicionales'",
Lovelle Burley,,"The Curse Within', 'None', 'None', 'None'",Reparto',
Brandon Foster,,"This Is Us', 'RuPaul: Reinas del drag', 'None', 'None'",Reparto',
Kait Kinley,,"Falling In Love', 'The Curse Within', 'The Same Coin', 'The Drone That Saved Christmas'",Reparto',
Brandon McGee,,"Truth or Dare', 'The Last Supper', 'Love Yourz', 'Innocent Shots'",Reparto',
Corey Corbett,,"Brief Is Love & Life Is Long', 'Fiore', 'Whirlwind', 'The Fall'","Cámara y electricidad', 'Producción', 'Efectos visuales'",
Payne Gregory,1987,"""The Gentle, A Film Inspired by Aesop's Fable the Sun and the North Wind"", 'The Long Way Inspired by the Hare and Tortoise', 'None', 'None'","Producción', 'Dirección', 'Guion'",
Chris Morris,,"Never Mind the Buzzcocks', 'The One Show', 'None', 'None'",None,
Charles Nguyen,,"Chainsaw Man', 'Genshin Impact', 'Spice & Wolf: merchant meets the wise wolf', 'Orion: A Sci-Fi Visual Novel'",Reparto',
Mary Katherine Wise,,"Exaltation', 'None', 'None', 'None'",Producción',
Dima Novikov,,"A Second Chance', 'A wish', 'Ultra Tennis', 'Unseen'","Dirección de fotografía y cámara', 'Efectos visuales', 'Edición'",
Yuriy Zhirov,,"Uncovered', 'A wish', 'Ultra Tennis', 'The Ugly Dance'","Reparto', 'Dirección', 'Guion'",
Antho -Unikement-,,"Jade & Anthony', 'None', 'None', 'None'","Reparto', 'Guion', 'Localización'",
Johana Morançais,,"Jade & Anthony', 'None', 'None', 'None'","Reparto', 'Guion'",
Patrick Finger,,"Chalet Girl', 'Pornorama', 'Sturm der Liebe', 'En el lugar del crimen'",Reparto',
Bloß Susanne,,"Blutsbande', 'The Room', 'Tabaluga tivi', 'None'",Reparto',
Gísli Freyr Eggertsson,,"Astrópía', 'Wolf', 'The Curse of the House', 'The House - Meeting Joshua'",Reparto',
Betúel Ingólfsson,,"Wolf', 'The Curse of the House', 'None', 'None'","Reparto', 'Arte', 'Producción'",
Vilius Petrikas,199,"Bajo el sótano', 'Ocean Treks with Jeff Corwin', 'Soul Cry', 'Existence'","Cámara y electricidad', 'Producción', 'Edición'",1
Rósa Ásgeirsdóttir,,"Delirium', 'Wolf', 'Vampyr', 'None'","Reparto', 'Vestuario'",1
Mark Fountain,,"Sorted', 'Soldiers of damned', 'No Angels', 'Casualty'",Reparto',1
Simon Glenn,,"Chugger', 'The Caller', 'The Great Train Robbery', 'None'",Reparto',1
Leslie Fender,,"Arriving', 'Pendulum', 'The Visitor', 'Tip Your Waitress'","Reparto', 'Vestuario', 'Diseño de vestuario'",
John Harris,193,"Sin perdón', 'Gladiator (El gladiador)', 'Camelot', 'La venganza del conde de Montecristo'","Reparto', 'Producción', 'Dirección'",11
Joseph Rene,,"Beyond the Red City', 'The Demon Inside', 'The Division: The Hands of War', 'Mataría por ti'",Reparto',
James Dougal,,"Covidrama', 'The Summoning', 'None', 'None'",Reparto',
Fernanda Lara,,"Silverpoint', 'The Summoning', 'None', 'None'",Reparto',
Nadia Milliken,,"The Irish Mob', 'The Summoning', 'None', 'None'",Reparto',
Ethan Savage,,"Dom & Knox', 'Absence', 'My Renaissance', 'None'",Reparto',
Adam Wallace,,"The Kid and the Coma', 'CollegeHumor Originals', 'Unmasked: Sidewalk Superheroes', 'Hot Dog'","Reparto', 'Guion', 'Producción'",
Juanita Adams,,"Everyone Is Doing Great', 'Good News', 'Whodunnit?', 'None'",Reparto',
Rana Ashuri,,"The Program (SSR-7)', 'Shoot', 'The Foreigner', 'Yasmine'","Reparto', 'Producción'",
Sam McAtee,,"I Love You But', 'None', 'None', 'None'",Equipos adicionales',
Izzi Rojas,,"When Men Were Men', 'Lost at Sea', 'Serious Matters in the Middle of the Night', 'Boys About Town #4'","Reparto', 'Guion', 'Dirección'",1
Jon Zuber,,"""Canyon's Edge"", 'Number 9', 'Calaveras Creek', 'Killer Holiday'","Producción', 'Guion', 'Reparto'",
Emmanuel Abah,,"Memoir', 'None', 'None', 'None'",Reparto',
John Aie,,"None', 'None', 'None', 'None'","224', '1h 15min'",1
Gloria Anozie,,"The Weekend', 'Back to Life', 'Half of a Yellow Sun', 'Finding Happiness'","Reparto', 'Equipos adicionales'",
Vanessa Arit,,"First Time', 'Sorrow Gate', 'Memoir', 'Obinmapu'",Reparto',
Abbey Awobimpe,,"Lagos Landing', 'Her Faithful Man', 'An Unlikely Pair', 'Subterfuge'","Dirección de arte', 'Arte', 'Diseño de producción'",
Njoku Benjamin,,"The Bodyguard', 'Memoir', 'None', 'None'",Reparto',
Emeka Duru,,"Cooked Up Love', 'Ordinary People', 'Four Wives and a Mistress', 'The Wedding'","Dirección de producción', 'Reparto', 'Producción'",
Tonia Edet,,"Memoir', 'Hold Hands', 'None', 'None'",Reparto',
Onyeka Francis,,"This is how it ends', ""Adam's Apple"", 'Impaired', 'Middle of Nowhere'","Dirección de producción', 'Reparto', 'Arte'",
Echelon Mbadiwe,,"Yahoo+', 'Remembrance of a Forgotten Man', 'Laurie', 'Twist of Fate'",Reparto',
Jorma Karlstedt,,"I Need My Space', 'Koukussa', 'Nuotin vierestä', 'Viraali'",Reparto',
Kalle Kurikkala,,"Pysähtynyt Kello', 'Viimeinen Suudelma', 'Parrasvaloissa', 'None'",Reparto',
Ari Nieminen,,"Lyhyitä erikoisia', 'Jos rakastat', 'Ártico', 'Suurmestari'","Arte', 'Equipos adicionales', 'Localización'",
Aino Paranko,,"Viimeinen Suudelma', 'Rakkauden Tähden Huomisesta eiliseen', 'Pysähtynyt Kello', 'Kontakti'",Reparto',
Vic Reeves,1959,"Catterick', 'Vic Reeves Big Night Out', 'House of Fools', 'Los años dorados de Hollywood'","Reparto', 'Guion', 'Música'",2
Michael Fish,,"Los Conner', 'Roseanne', 'Seinfeld', 'Abducted by My Teacher: The Elizabeth Thomas Story'","Reparto', 'Dirección', 'Producción'",3
Mallory Everton,,"Recovery', 'Villains Inc', 'Freelancers', 'Studio C'","Reparto', 'Guion', 'Dirección'",8
Colin Mochrie,1957,"Whose Line Is It Anyway?', 'Jane White Is Sick & Twisted', 'Getting Along Famously', 'This Hour Has 22 Minutes'","Reparto', 'Producción', 'Guion'",9
Jason Gray,197,"Monk', 'Una mente maravillosa', 'Banderas de nuestros padres', 'Justified: La ley de Raylan'","Reparto', 'Banda sonora'",
Billy Mann,,"Spidey Beats', 'The Paradise Planets: The Fallen from Paradise', 'Lunchtime Battle: A Mobile Strike Story', 'Villains Inc'",Reparto',
Jeff Bryan Davis,1973,"Deep Impact', 'Final fantasy: La fuerza interior', 'Titanic', 'Un loco a domicilio'","Guion', 'Dirección', 'Reparto'",
Joe Bereta,1982,"Smosh', 'Every Blank Ever', 'The Big What If', 'Smosh Summer Games 216: Camp'","Reparto', 'Equipos adicionales', 'Dirección de la segunda unidad o asistencia a dirección'",
Charla Bocchicchio,,"The Chosen', 'Yellowstone', 'He Never Left', 'Villains Inc'",Reparto',5
Gabriel Casdorph,,"Los asesinos de la luna', 'Wind River', 'Damsel', 'Yellowstone'","Reparto', 'Dirección', 'Dirección de fotografía y cámara'",1
GloZell Green,1972,"Trolls', 'Escape the Night', 'El gurú de las bodas', 'Ralph rompe Internet'","Reparto', 'Casting', 'Banda sonora'",1
Archelaus Crisanto,,"The Tailypo: A Folktale', 'Deadstream', 'Secondhand Hearts', 'Creatures of Whitechapel'","Reparto', 'Equipos adicionales', 'Dirección de la segunda unidad o asistencia a dirección'",
Allison Edwards,,"El cuento de la criada', 'Monster', 'Initiation', ""A Witches' Ball""","Reparto', 'Producción'",
Jon Parker,,"The Secret Life of Amy Bensen', 'The Anthology of Julius, the Nigerian Immigrant', 'None', 'None'","Reparto', 'Guion'",
Will Reverman,,"Images', 'None', 'None', 'None'",Reparto',
Stone Taul,,"Viceroy', 'Leave in the Morning', 'Red Ink', 'Regret'","Reparto', 'Sonido', 'Dirección'",1
Dean Parker,,"Images', 'Regret', 'Together', 'No Love in Loveland'","Dirección', 'Edición', 'Guion'",11
Nathan Anthony,,"BioShock', 'The Last of Us', 'BioShock Infinite', 'The Last of Us: Left Behind'","Reparto', 'Arte', 'Dirección de arte'",
Luke Harris,,"Triangle', 'Furia de titanes', 'Australia', 'Arthur Christmas: Operación regalo'","Animación', 'Efectos visuales', 'Arte'",
James McCormick,1992,"Scary Movie 5', 'Tall Girl', 'Arma letal', 'Mac Miller: Clarity'","Music Artist', 'Reparto', 'Composición'",
Kris Alexandrea,,"Rot', 'Venganza personal', 'Gothic Springs', 'Unicorn'","Reparto', 'Guion', 'Producción'",
Kris Ann Russell,,"Saved by the Bell', 'Finding Love in Big Sky, Montana', 'Justin Bieber: Hold On', '32 Weeks'","Reparto', 'Guion', 'Dirección'",
Linda Burzynski,,"Big Little Lies', 'Shameless', 'Animal Kingdom', 'Fear, Love, and Agoraphobia'","Reparto', 'Producción', 'Guion'",3
Eileen Dietz,1944,"Abnormal Attraction', ""David Holzman's Diary"", 'Hospital General', 'Halloween 2'","Reparto', 'Producción'",2
Johnny Kostrey,,"Aquarius', 'Lucky Bastard', 'Asuntos de estado', 'Channeling'",Reparto',2
Fagner Soares,,"I Seek Your Help to Bury a Man', 'Os Mais Amados', 'None', 'None'",Reparto',
Margareth Galvão,,"A Noite do Chupacabras', 'A Morte da Mulata', 'Teobaldo Morto, Romeu Exilado', 'A Mesa no Deserto'",Reparto',
Miguel Muhd,,"I Seek Your Help to Bury a Man', 'None', 'None', 'None'",Reparto',
Higor Campagnaro,1983,"Um Animal Amarelo', 'Os Primeiros Soldados', 'Futuro Futuro', 'Punhal'","Reparto', 'Equipos adicionales'",1
Guaja,1965,"Kalifornia', 'True Blood', '213: Rescate en L.A.', 'Los juegos del hambre: Sinsajo - Parte 2'",Reparto',4
Erik Martíncues,,"Luz nos Trópicos', 'As Horas Vulgares', 'Teobaldo Morto, Romeu Exilado', 'I Seek Your Help to Bury a Man'",Reparto',
Thelma Lopes,,"O Consultório', 'Dama Inerte', 'O Cemitério das Almas Perdidas', 'Destino das Sombras'",Reparto',
Kunal Bose,,"Carpe Diem', 'Waiting Room', 'None', 'None'","Reparto', 'Guion'",
Krishnakash Giri,,"Prey', 'Waiting Room', 'Felony', 'None'","Reparto', 'Producción'",
Aditya Sadhukhan,,"Prey', 'Headphone', 'The Hottest Guy in the College', 'Felony'","Reparto', 'Guion', 'Música'",
Jay Thames,,"Go North', 'I Dream Too Much', 'The Power of Few', 'Hijos de la anarquía'","Producción', 'Reparto', 'Guion'",
Dave Bobb,,"Succession', 'La vida y Beth', 'FBI: Most Wanted', 'Girls5eva'","Reparto', 'Dirección', 'Producción'",
M.L. Josepher,,"Sanju', 'Beeotch', 'Sweet Thing', 'Ram Dass, Going Home'","Reparto', 'Producción'",
Chris Jun,,"Connect', 'Last Night in the ATL', 'The Unanointed', 'The Enslaved'","Reparto', 'Guion', 'Composición'",
Nana Ponceleon,,"La hora cero', 'Doubt of You', 'The Birthmark Killer', 'City of Gold'","Reparto', 'Guion', 'Producción'",
Julian Sarin,,"The Garden', 'None', 'None', 'None'",Reparto',
Martin Goeres,1984,"Constelación', 'Matrix Resurrections', 'Wonder Woman', 'Misión: Imposible - Nación secreta'","Especialistas', 'Efectos especiales', 'Dirección de la segunda unidad o asistencia a dirección'",3
Natalie Loader,,"Distorted', 'The Zombie Diaries', 'Mr Lewis', 'Noise'",Reparto',3
Duncan Wigman,,"One by One', 'Noise', 'Toothbrush', 'The Watcher'",Reparto',3
Michael Soldier,,"None', 'None', 'None', 'None'","Especial de TV', '223', '12min'",3
Tony Sommers,,"Initiation 3', 'Demonology', 'Twisting Fate with Death and Larry', 'Initiation Episode 2'","Reparto', 'Producción'",3
Valerie Weak,,"Por trece razones', 'The Snake', 'Skywatch', 'Suicide'","Reparto', 'Guion', 'Producción'",3
Reggie D. White,,"Blindspot', 'Gotham', 'Medias Res', 'Rebound'",Reparto',3
Jean Aviat,,"Foto de familia', ""L'amie de l'été"", 'Le roi qui contemplait la mer', 'None'",Reparto',3
Syrine Conesa,,"""L'amie de l'été"", 'None', 'None', 'None'",Reparto',3
Tim Rousseau,,"Amok', 'Las 7 vidas de Léa', 'Plus belle la vie, encore plus belle', 'Plus belle la vie'","Reparto', 'Dirección', 'Guion'",3
Tomás Bubeník,,"Nespavost', 'Welcome to Prague', 'Metro', 'None'",Reparto',3
Lukas Gavran,,"Ztracené léto', 'Welcome to Prague', 'None', 'None'","Reparto', 'Producción'",3
Hanka Láznová,,"Nespavost', 'Welcome to Prague', 'None', 'None'",Reparto',3
Jessica Kinsella,,"Mixology', 'Betch', ""Blake Shelton's Not So Family Christmas"", 'None'","Reparto', 'Guion', 'Producción'",3
Laura Keller,,"Runaways', 'The Middle', 'Terapia con Charlie', 'Paraíso'","Reparto', 'Guion', 'Producción'",
Aliee Chan,,"Quirky Female Protagonist', 'New Girl', 'The Middle', 'The Rookie'","Reparto', 'Guion', 'Producción'",
Sofie Norman,,"Get the Girl', 'FBI: International', 'Interface', 'Millennium: Lo que no te mata te hace más fuerte'",Reparto',
Ian Roberts,1965,"A por todas', 'Key and Peele', 'Hermanos por pelotas', 'Pasado de vueltas'","Reparto', 'Guion', 'Producción'",2
Andreas Beckett,1969,"Transformers: La era de la extinción', 'Counterpart', 'NCIS: Los Ángeles', 'Saturday Night Live'","Reparto', 'Equipos adicionales', 'Producción'",2
David Delagarza,,"Vendetta', 'The Assassins', 'Among the Shadows', 'Vendetta'","Reparto', 'Especialistas', 'Cámara y electricidad'",2
Stu Hammill,,"Real Heroes', 'Vendetta', 'The Chester Kids', 'Vendetta'","Reparto', 'Cámara y electricidad', 'Equipos adicionales'",
Adam D. James,,"Caught', 'Volverás en mis sueños', 'This Is Happening', 'The Lovely Rejects'","Cámara y electricidad', 'Equipos adicionales', 'Reparto'",
Nick Somers,,"My Christmas Wish', 'Among the Shadows', 'Horror Haiku', 'Vendetta'","Producción', 'Reparto', 'Dirección de fotografía y cámara'",1
James Tumminia,,"Love, Gilda', 'Melissa & Joey', '1st Strike', 'Resident Evil: Extinción'","Producción', 'Equipos adicionales', 'Reparto'",7
Hunter Goligoski,,"1923', 'Agony', 'Boy, Toxic', 'Misery King'","Reparto', 'Dirección', 'Guion'",7
Emily Ciccarelli,,"Funny Bone', 'The Man with the Many Umbrellas', 'France Europe express', 'None'",Reparto',7
Daniel McGill,,"Funny Bone', 'Funny Bone', 'None', 'None'",Reparto',7
Ashleigh-Rose Nicholson,,"The Orchard', 'The Highlighter Games', 'Funny Bone', 'None'",Reparto',7
Elizabeth O'Callaghan,,"Mondo Yakuza', 'Freelance', 'Luna Seven', 'Bernie Brown'","Reparto', 'Localización', 'Equipos adicionales'",7
Andy Rhodes,,"Todo un hombre', 'None', 'None', 'None'",Cámara y electricidad',7
Sheila Ley,,"Entre Reticências', 'The Professor', 'A Complex Mongrel Story', 'Belong'",Reparto',7
André Nepomuceno,,"Caminhos Macabros', 'Um Ano Inesquecível: Verão', 'Unidade Básica', 'Entre Reticências'",Reparto',7
Kassandra Herzog,,"Temerás a tu vecino', 'Stall', 'Crímenes en la Red', 'None'",Reparto',
Lyle Lettau,,"iZombie', 'Spring Bloom', 'Degrassi: Next Class', 'Arthur'","Reparto', 'Banda sonora'",1
Swaylee Loughnane,1982,"Connie Lynn', 'Bank on us', 'World Cup Heist', 'Cream'","Reparto', 'Producción', 'Dirección'",3
Sam Richardson,1984,"Veep', 'Detroiters', 'Mike y Dave buscan rollo serio', 'Somos los Miller'","Reparto', 'Guion', 'Producción'",3
Tonjha Richardson,,"Transplant', 'The Jane Mysteries: Inheritance Lost', 'Accused', 'All Aboard for Love'","Reparto', 'Guion', 'Producción'",
Lydia Gonzáles,,"Deaf Buildings', 'None', 'None', 'None'",Reparto',
Pedro Peral Jr.,,"Deaf Buildings', 'None', 'None', 'None'",Reparto',
Pedro Peral,,"Ascensão', 'Noite Perpétua', 'Mupepy Munatim', 'Ninguém'","Dirección', 'Guion', 'Producción'",13
Victor Ayala,,"Destino final 3', 'Percy Jackson y el ladrón del rayo', 'Prison Break', 'Continuum'","Reparto', 'Especialistas'",13
Nicole Burgess,,"Dopesick: Historia de una adicción', 'Birds of a Feather 2', 'But Deliver Us from Evil', 'Voidfinder'","Reparto', 'Guion', 'Dirección de la segunda unidad o asistencia a dirección'",13
Adam Hooker,,"Heart of the Dead', 'None', 'None', 'None'",Reparto',13
Josh Townsend,,"The Gainesville Ripper', 'Loyalty', 'No Budget', 'Whore'","Producción', 'Reparto', 'Cámara y electricidad'",13
Adam Adrian,,"A view from here', 'A Tape Odyssey', 'None', 'None'",Reparto',
Bethany Fenton,,"A view from here', 'None', 'None', 'None'",Reparto',
David Gries,,"Free Pie', 'The Lost Within', 'Still', 'The Christ Slayer'","Reparto', 'Producción', 'Arte'",8
Kate Rudd,,"Perks', 'Zorg and Andy', 'The Dread', 'Bullies on Vacation'","Reparto', 'Producción'",
Jake Stevens,,"None', 'None', 'None', 'None'",None,
Rosalind Eleazar,1988,"Slow Horses', 'La increíble historia de David Copperfield', 'Tío Vanya', 'Regreso a Howards End'",Reparto',
Meg Salter,,"A Song for Jenny', 'BBC3 Quickies', 'El cazador de cabezas', 'None'","Reparto', 'Guion', 'Producción'",
Sally O'Leary,,"The Emily Atack Show', 'BBC3 Quickies', 'Buffering', 'Bendita paciencia (Breeders)'","Guion', 'Reparto', 'Producción'",
Jelisa Ferguson,,"F**KED', 'None', 'None', 'None'",Reparto',
Omar Harrak,,"F**KED', 'None', 'None', 'None'",Reparto',
Arak Amornsupasiri,,"Slice', 'Body sob 19', 'Rak/Saam/Sao', '3+ Soht On Sale'","Reparto', 'Especialistas'",
Sirat Intarachote,,"4 Kings', '4 Kings 2', 'App War', 'Die Tomorrow'",Reparto',
Nat Kitcharit,,"Reo hoad... muean kod ter', 'App War', '4 Kings', 'I Told Sunset About You'",Reparto',
Akarin Akaranithimetrad,,"Tawan Tat Burapha', '4 Kings', 'Baker Boys', 'The Messenger'",Reparto',
Joke Akarin Akaranithimetrad,,"4 Kings', 'None', 'None', 'None'",Reparto',
Akarin Akaranitimaytharatt,,"4 Kings', '3x3D', 'None', 'None'",Reparto',
Pae Arak Amornsupasiri,,"4 Kings', 'None', 'None', 'None'",Reparto',
Paluda Apiromrat,,"4 Kings', '3x3D', 'None', 'None'",Reparto',
Ratchanee Boontatharokul,,"4 Kings', 'None', 'None', 'None'",Reparto',
Ratchanee Boonyatharokul,,"Buenos viejos tiempos', 'Our Skyy', 'None', 'None'",Reparto',
Rushikesh,,"Maan Guntale', 'None', 'None', 'None'",Reparto',
Sanjayshankar,,"Arunodaya... A New Dawn', 'None', 'None', 'None'","Dirección', 'Reparto', 'Edición'",
Satya,,"None', 'None', 'None', 'None'","224', '2h 2min'",
Adam Howes,1983,"The Contract', 'The End of All Things', 'None', 'None'","Guion', 'Reparto', 'Producción'",2
Alina Chan,,"The End of All Things', 'Earth', 'The Dark Channel', 'Culture Shock'","Reparto', 'Producción', 'Guion'",2
Harry Davies,,"La chaqueta metálica', 'None', 'None', 'None'",Reparto',2
Dhugal Fulton,,"The End of All Things', 'None', 'None', 'None'","Reparto', 'Equipos adicionales'",2
Peter Coxhead,,"The End of All Things', 'None', 'None', 'None'",Reparto',2
John Stirling,,"Nicholas Nickleby', 'Pepe Moreno', 'Double Cross', 'The Secret of the Forest'",Reparto',
Paul Nelson,,"The Pod Generation', 'O Horizon', ""Mothers' Instinct"", 'Under My Skin'","Responsable', 'Producción'",
Mary Rinaldi,,"Fatal Frames - Fotogrammi mortali', 'Sick-o-pathics', 'La grande prugna', 'Animali felici'","Reparto', 'Guion'",
Nathan Coenen,1992,"Tinglewood', 'El club de los pijamas', 'Cut/Print', 'Teen Wolf'","Reparto', 'Equipos adicionales'",1
Victoria Smith,,"Sistas', 'Truth or Dare', 'Hamlet & Hutch', 'The List'","Reparto', 'Casting', 'Equipos adicionales'",1
Peter McCrohon,,"Twenty Twenty-Four', 'The Old Man of Waterloo', 'With Evil Intent', 'The Chanctonbury Ring'",Reparto',1
Benny L Andrews Jr.,,"Why Wait?', 'This Christmas Chance', 'Message and the Messenger', 'Message and the Messenger'","Reparto', 'Dirección'",1
Aaron Andrews,,"Survival of the Dumbest', 'None', 'None', 'None'",Reparto',1
Derrick Deal,,"Why Wait?', 'Scream', 'Treme', 'Armed with a Heart'",Reparto',1
Shauntrell Demesme,,"This Christmas Chance', 'Why Wait?', 'None', 'None'",Reparto',1
Ashley Forrestier,,"A Nashville Legacy', 'Put a Ring on It', 'Urge', 'Strange Love'",Reparto',1
Dee Hill,,"The SZN', 'The Ring Widow', 'The Wrong One', '4 Sisters'",Reparto',1
Shelton Jolivette,,"Message and the Messenger', 'Zombie Tidal Wave', 'Dark Summer', 'The Day'","Reparto', 'Producción', 'Dirección de casting'",1
DomiNque Perry,1988,"Dale duro', 'Insecure', 'American Hero', 'Because I Love You'",Reparto',1
Stephen Sutton,,"None', 'None', 'None', 'None'",None,
Keith Swanier Jr.,,"Why Wait?', 'None', 'None', 'None'",Reparto',
Germán De Silva,,"Relatos salvajes', 'Las acacias', 'Los dos Papas', 'La educación del Rey'",Reparto',1
Luz Palazón,,"Rancho aparte', 'El robo del siglo', 'La Misma Sangre', 'Hawaii'","Reparto', 'Guion'",1
Julieta Rapalini,,"Fragmentada', 'Historias breves 12', 'El plan', 'Espejo'",Reparto',1
Ciro Regner,,"Espejo', 'None', 'None', 'None'",Reparto',1
Julieta Zylberberg,1983,"Relatos salvajes', 'La mirada invisible', 'Mi amiga del parque', 'La niña santa'","Reparto', 'Guion', 'Banda sonora'",5
Matt Heymann,,"I, Helios', 'Tales from Shaolin Pt One Shakey Dog', 'Deafblind Couple', 'Baked in Brooklyn'","Cámara y electricidad', 'Dirección de fotografía y cámara', 'Producción'",
Ben Warhit,,"El santo de las segundas oportunidades', 'Anthony Bourdain: un chef por el mundo', '¡Steve! (Martin): Un documental en 2 partes', 'The Next Thing You Eat'","Producción', 'Dirección de producción', 'Dirección'",
Grant Rosenmeyer,1991,"Los Tenenbaums. Una familia de genios', 'Crazy Ex-Girlfriend', 'Cuando tú quieras', 'Oliver Beene'","Reparto', 'Producción', 'Guion'",2
Zac Ruhland,,"Thunder Island', 'Finding the Invisible Man', 'Thunder Island', 'The Making of Razor River'",Reparto',
Sam Ruhland,,"Razor River', 'Thunder Island', 'Thunder Island', 'Finding the Invisible Man'",Reparto',
Jason Ruhland,,"Thunder Island', 'Razor River', 'Untitled Noir Film', 'Bob Came from Outer Space'","Producción', 'Dirección', 'Reparto'",
Katharina Bintz,,"Ons Identitéit - Mir hunn se fonnt', 'Die Festung', 'Von Soldaten und Matrosen', 'None'","Reparto', 'Dirección', 'Guion'",
Simina German,,"Die Festung', 'None', 'None', 'None'",Reparto',
Sven Gey,,"En el lugar del crimen', 'Die Festung', 'Wintermärchen', 'Qazi'",Reparto',
Markus Kiefer,,"Totgesagte leben länger', 'Tatort Calw - Hexensabbat', 'Village People - Voll Porno', 'Village People 2 - Auf der Jagd nach dem Nazigold'",Reparto',
Verena Reichhardt,,"Kleine frieren auch im Sommer', 'Die Festung', 'Alzire oder der neue Kontinent', 'Willkommen im Club'",Reparto',
Johanna Wieking,,"Lichter der Stadt', 'Ruf mich an!', 'Die Festung', 'Zum Tod meiner Mutter'",Reparto',
